Duration;Action;Controller;IP;Created;Exception;StartDate;StartTime;EndDate;EndTime;Operation;Success
2094;questionnaire;patient;8.25.24.2;2013-12-10 16:47:46.4100000;0;2013-12-10 16:47:46.4100000;1386690466411;2013-12-10 16:47:48.5070000;1386690468505;NULL;1
110;questionnaire;patient;8.25.24.2;2013-12-10 16:48:26.1930000;0;2013-12-10 16:48:26.1930000;1386690506192;2013-12-10 16:48:26.3030000;1386690506302;NULL;1
109;questionnaire;patient;8.25.24.2;2013-12-10 16:48:49.4270000;0;2013-12-10 16:48:49.4100000;1386690529411;2013-12-10 16:48:49.5200000;1386690529520;NULL;1
110;questionnaire;patient;8.25.24.2;2013-12-10 16:58:25.7700000;0;2013-12-10 16:58:25.7700000;1386691105770;2013-12-10 16:58:25.8800000;1386691105880;NULL;1
656;questionnaire;patient;8.25.24.2;2013-12-11 18:49:06.8170000;0;2013-12-11 18:49:06.8170000;1386784146817;2013-12-11 18:49:07.4730000;1386784147473;NULL;1
141;questionnaire;patient;8.25.24.2;2013-12-11 18:49:29.0670000;0;2013-12-11 18:49:29.0670000;1386784169067;2013-12-11 18:49:29.2070000;1386784169208;NULL;1
171;questionnaire;patient;8.25.24.2;2013-12-11 18:49:43.1770000;0;2013-12-11 18:49:43.1770000;1386784183177;2013-12-11 18:49:43.3470000;1386784183348;NULL;1
125;questionnaire;patient;8.25.24.2;2013-12-11 18:49:53.8030000;0;2013-12-11 18:49:53.7870000;1386784193786;2013-12-11 18:49:53.9100000;1386784193911;NULL;1
141;questionnaire;patient;8.25.24.2;2013-12-11 20:08:47.8970000;0;2013-12-11 20:08:47.8970000;1386788927895;2013-12-11 20:08:48.0370000;1386788928036;NULL;1
125;questionnaire;patient;8.25.24.2;2013-12-11 20:08:55.4900000;0;2013-12-11 20:08:55.4730000;1386788935473;2013-12-11 20:08:55.5970000;1386788935598;NULL;1
4203;questionnaire;patient;87.104.202.30;2013-12-20 10:32:52.2970000;0;2013-12-20 10:32:52.2970000;1387531972298;2013-12-20 10:32:56.5000000;1387531976501;NULL;1
250;questionnaire;patient;62.44.134.157;2014-01-09 12:00:52.8670000;0;2014-01-09 12:00:52.8500000;1389265252850;2014-01-09 12:00:53.1000000;1389265253100;NULL;1
281;questionnaire;patient;62.44.134.157;2014-01-09 12:01:09.4270000;0;2014-01-09 12:01:09.4270000;1389265269428;2014-01-09 12:01:09.7100000;1389265269709;NULL;1
140;questionnaire;patient;62.44.134.157;2014-01-09 12:01:24.4270000;0;2014-01-09 12:01:24.4270000;1389265284428;2014-01-09 12:01:24.5670000;1389265284568;NULL;1
