Duration;Action;Controller;IP;Created;Exception;StartDate;StartTime;EndDate;EndTime;Operation;Success
187;questionnaires;patient;80.198.90.242;2013-12-02 12:40:54.4330000;0;2013-12-02 12:40:54.4330000;1385984454433;2013-12-02 12:40:54.6200000;1385984454620;NULL;1
110;questionnaires;patient;80.198.90.242;2013-12-02 12:41:19.6500000;0;2013-12-02 12:41:19.6500000;1385984479651;2013-12-02 12:41:19.7600000;1385984479761;NULL;1
203;questionnaires;patient;80.62.117.128;2013-12-02 12:49:32.9330000;0;2013-12-02 12:49:32.9330000;1385984972933;2013-12-02 12:49:33.1370000;1385984973136;NULL;1
485;questionnaires;patient;2.108.97.181;2013-12-02 22:40:50.6030000;0;2013-12-02 22:40:50.6030000;1386020450604;2013-12-02 22:40:51.0900000;1386020451089;NULL;1
718;questionnaires;patient;76.191.45.2;2013-12-04 15:09:28.8670000;0;2013-12-04 15:09:28.8670000;1386166168865;2013-12-04 15:09:29.5830000;1386166169583;NULL;1
266;questionnaires;patient;76.191.45.2;2013-12-04 15:12:46.4730000;0;2013-12-04 15:12:46.4730000;1386166366474;2013-12-04 15:12:46.7400000;1386166366740;NULL;1
250;questionnaires;patient;87.104.85.41;2013-12-04 15:16:33.4900000;0;2013-12-04 15:16:33.4900000;1386166593490;2013-12-04 15:16:33.7400000;1386166593740;NULL;1
125;questionnaires;patient;87.104.85.41;2013-12-04 15:17:06.5830000;0;2013-12-04 15:17:06.5830000;1386166626583;2013-12-04 15:17:06.7070000;1386166626708;NULL;1
110;questionnaires;patient;87.104.85.41;2013-12-04 15:18:40.2070000;0;2013-12-04 15:18:40.2070000;1386166720208;2013-12-04 15:18:40.3170000;1386166720318;NULL;1
172;questionnaires;patient;87.104.85.41;2013-12-04 15:31:46.6600000;0;2013-12-04 15:31:46.6600000;1386167506661;2013-12-04 15:31:46.8330000;1386167506833;NULL;1
578;questionnaires;patient;76.191.45.2;2013-12-04 16:08:17.8500000;0;2013-12-04 16:08:17.8330000;1386169697833;2013-12-04 16:08:18.4100000;1386169698411;NULL;1
406;questionnaires;patient;76.191.45.2;2013-12-04 16:18:25.6300000;0;2013-12-04 16:18:25.6300000;1386170305630;2013-12-04 16:18:26.0370000;1386170306036;NULL;1
531;questionnaires;patient;76.191.45.2;2013-12-04 16:30:30.1470000;0;2013-12-04 16:30:30.1470000;1386171030146;2013-12-04 16:30:30.6770000;1386171030677;NULL;1
1516;questionnaires;patient;76.191.45.2;2013-12-04 17:43:36.1000000;0;2013-12-04 17:43:36.1000000;1386175416099;2013-12-04 17:43:37.6170000;1386175417615;NULL;1
438;questionnaires;patient;76.191.45.2;2013-12-04 17:54:08.3800000;0;2013-12-04 17:54:08.3800000;1386176048380;2013-12-04 17:54:08.8170000;1386176048818;NULL;1
469;questionnaires;patient;76.191.45.2;2013-12-04 17:54:53.3800000;0;2013-12-04 17:54:53.3800000;1386176093380;2013-12-04 17:54:53.8500000;1386176093849;NULL;1
297;questionnaires;patient;70.192.17.37;2013-12-04 18:12:47.3030000;0;2013-12-04 18:12:47.3030000;1386177167302;2013-12-04 18:12:47.6000000;1386177167599;NULL;1
531;questionnaires;patient;76.191.45.2;2013-12-04 18:15:40.6170000;0;2013-12-04 18:15:40.6170000;1386177340615;2013-12-04 18:15:41.1470000;1386177341146;NULL;1
391;questionnaires;patient;76.191.45.2;2013-12-04 19:56:49.6470000;0;2013-12-04 19:56:49.6300000;1386183409630;2013-12-04 19:56:50.0200000;1386183410021;NULL;1
406;questionnaires;patient;76.191.45.2;2013-12-04 19:57:41.6770000;0;2013-12-04 19:57:41.6770000;1386183461677;2013-12-04 19:57:42.0830000;1386183462083;NULL;1
