Duration;Action;Controller;IP;Created;Exception;StartDate;StartTime;EndDate;EndTime;Operation;Success
94;questionnaires;patient;212.98.82.162;2013-11-18 13:29:27.6430000;0;2013-11-18 13:29:27.6430000;1384777767644;2013-11-18 13:29:27.7370000;1384777767738;NULL;1
735;questionnaires;patient;80.62.116.251;2013-11-18 13:29:38.1770000;0;2013-11-18 13:29:38.1770000;1384777778175;2013-11-18 13:29:38.9100000;1384777778910;NULL;1
422;questionnaires;patient;212.98.82.162;2013-11-18 13:29:42.7370000;0;2013-11-18 13:29:42.7370000;1384777782738;2013-11-18 13:29:43.1600000;1384777783160;NULL;1
968;questionnaires;patient;212.98.82.162;2013-11-18 13:29:54.7070000;0;2013-11-18 13:29:54.7070000;1384777794707;2013-11-18 13:29:55.6770000;1384777795675;NULL;1
125;questionnaires;patient;212.98.82.162;2013-11-18 13:30:08.7070000;0;2013-11-18 13:30:08.7070000;1384777808707;2013-11-18 13:30:08.8330000;1384777808832;NULL;1
93;questionnaires;patient;212.98.82.162;2013-11-18 13:30:17.0830000;0;2013-11-18 13:30:17.0830000;1384777817082;2013-11-18 13:30:17.1770000;1384777817175;NULL;1
94;questionnaires;patient;212.98.82.162;2013-11-18 13:30:30.5670000;0;2013-11-18 13:30:30.5500000;1384777830550;2013-11-18 13:30:30.6430000;1384777830644;NULL;1
109;questionnaires;patient;212.98.82.162;2013-11-18 13:30:42.1600000;0;2013-11-18 13:30:42.1600000;1384777842160;2013-11-18 13:30:42.2700000;1384777842269;NULL;1
109;questionnaires;patient;212.98.82.162;2013-11-18 13:30:57.3330000;0;2013-11-18 13:30:57.3330000;1384777857332;2013-11-18 13:30:57.4400000;1384777857441;NULL;1
141;questionnaires;patient;212.98.82.162;2013-11-18 13:31:10.0970000;0;2013-11-18 13:31:10.0970000;1384777870097;2013-11-18 13:31:10.2370000;1384777870238;NULL;1
94;questionnaires;patient;212.98.82.162;2013-11-18 13:31:19.6770000;0;2013-11-18 13:31:19.6770000;1384777879675;2013-11-18 13:31:19.7700000;1384777879769;NULL;1
140;questionnaires;patient;194.239.195.65;2013-11-18 13:33:03.1130000;0;2013-11-18 13:33:03.1130000;1384777983113;2013-11-18 13:33:03.2530000;1384777983253;NULL;1
1125;questionnaires;patient;131.165.102.90;2013-11-18 13:39:11.4100000;0;2013-11-18 13:39:11.4100000;1384778351410;2013-11-18 13:39:12.5370000;1384778352535;NULL;1
1484;questionnaires;patient;131.165.102.90;2013-11-18 13:46:46.7700000;0;2013-11-18 13:46:46.7700000;1384778806769;2013-11-18 13:46:48.2530000;1384778808253;NULL;1
10297;questionnaires;patient;131.165.102.90;2013-11-18 13:48:41.8170000;0;2013-11-18 13:48:41.8170000;1384778921816;2013-11-18 13:48:52.1130000;1384778932113;NULL;1
